Brand,Model,Body_Type,Fuel,Transmission,Owner,Owner_No,Year,KM,Price,Seats,Engine_CC,Power,City
Maruti,Maruti Baleno,Hatchback,Petrol,Manual,1st Owner,1,2019,30000.0,650000.0,5.0,1197.0,83.1bhp,Jaipur
Kia,Kia Sonet,SUV,Diesel,Automatic,1st Owner,1,2021,45204.0,1325000.0,5.0,1493.0,113.42bhp,Jaipur
Hyundai,Hyundai i20,Hatchback,Diesel,Manual,1st Owner,1,2017,81000.0,575000.0,5.0,1396.0,88.73bhp,Jaipur
Honda,Honda City,Sedan,Petrol,Manual,1st Owner,1,2008,120000.0,170000.0,5.0,1497.0,78 ,Jaipur
Hyundai,Hyundai Grand i10 Nios,Hatchback,Petrol,Manual,2nd Owner,2,2020,40000.0,590000.0,5.0,1197.0,81.86bhp,Jaipur
Hyundai,Hyundai i20,Hatchback,Petrol,Automatic,2nd Owner,2,2019,33236.0,753000.0,5.0,1197.0,81.86bhp,Jaipur
Hyundai,Hyundai Grand i10,Hatchback,Petrol,Automatic,2nd Owner,2,2014,50000.0,425000.0,5.0,1197.0,81.86bhp,Jaipur
Maruti,Maruti Baleno,Hatchback,Petrol,Manual,1st Owner,1,2019,47214.0,587000.0,5.0,1197.0,83.1bhp,Jaipur
Hyundai,Hyundai Grand i10 Nios,Hatchback,Petrol,Manual,2nd Owner,2,2019,54670.0,580000.0,5.0,1197.0,81.86bhp,Jaipur
Honda,Honda Amaze,Sedan,Petrol,Manual,2nd Owner,2,2018,30000.0,530000.0,5.0,1198.0,86.7bhp,Jaipur
Mahindra,Mahindra Bolero,SUV,Diesel,Manual,1st Owner,1,2013,120000.0,400000.0,7.0,2523.0,62bhp,Jaipur
Tata,Tata Zest,Sedan,Petrol,Manual,2nd Owner,2,2016,120000.0,300000.0,5.0,1193.0,88.7bhp,Jaipur
Toyota,Toyota Fortuner,SUV,Diesel,Automatic,1st Owner,1,2015,125000.0,1595000.0,7.0,2982.0,168.5bhp,Jaipur
Ford,Ford Aspire,Sedan,Diesel,Manual,1st Owner,1,2017,100000.0,380000.0,5.0,1498.0,99bhp,Jaipur
Hyundai,Hyundai i20,Hatchback,Petrol,Manual,2nd Owner,2,2017,57000.0,625000.0,5.0,1197.0,81.83bhp,Jaipur
Chevrolet,Chevrolet Spark,Hatchback,Lpg,Manual,2nd Owner,2,2011,70000.0,160000.0,5.0,995.0,59bhp,Jaipur
Volkswagen,Volkswagen Polo,Hatchback,Diesel,Manual,1st Owner,1,2017,120000.0,525000.0,5.0,1498.0,88bhp,Jaipur
Maruti,Maruti Baleno,Hatchback,Petrol,Manual,1st Owner,1,2022,30000.0,850000.0,5.0,1197.0,88.50bhp,Jaipur
Ford,Ford Endeavour,SUV,Diesel,Manual,2nd Owner,2,2008,120000.0,390000.0,,2953.0,,Jaipur
Kia,Kia Seltos,SUV,Petrol,Manual,1st Owner,1,2021,3844.0,1490000.0,5.0,1497.0,113.43bhp,Jaipur
Chevrolet,Chevrolet Cruze,Sedan,Diesel,Manual,4th Owner,4,2011,120000.0,190000.0,5.0,1991.0,147.9bhp,Jaipur
Renault,Renault KWID,Hatchback,Petrol,Manual,1st Owner,1,2020,50000.0,375000.0,5.0,999.0,67.06bhp,Jaipur
Honda,Honda CR-V,SUV,Petrol,Manual,3rd Owner,3,2008,120000.0,180000.0,5.0,2354.0,141.1bhp,Jaipur
Mahindra,Mahindra XUV500,SUV,Diesel,Manual,2nd Owner,2,2015,80000.0,950000.0,7.0,1997.0,140bhp,Jaipur
Maruti,Maruti Swift Dzire,Sedan,Petrol,Manual,1st Owner,1,2012,94554.0,383000.0,5.0,1197.0,88.50bhp,Jaipur
Maruti,Maruti Baleno,Hatchback,Petrol,Manual,1st Owner,1,2021,15991.0,713000.0,5.0,1197.0,81.80bhp,Jaipur
Mahindra,Mahindra Scorpio,SUV,Diesel,Manual,3rd Owner,3,2013,70000.0,520000.0,7.0,2179.0,120bhp,Jaipur
Maruti,Maruti Swift Dzire,Sedan,Diesel,Automatic,1st Owner,1,2017,72918.0,655000.0,5.0,1248.0,74.02bhp,Jaipur
Datsun,Datsun RediGO,Hatchback,Petrol,Automatic,1st Owner,1,2018,22982.0,313000.0,5.0,999.0,67bhp,Jaipur
Hyundai,Hyundai i20,Hatchback,Diesel,Manual,1st Owner,1,2015,76000.0,575000.0,5.0,1396.0,88.73bhp,Jaipur
Skoda,Skoda Rapid,Sedan,Diesel,Manual,1st Owner,1,2017,115000.0,675000.0,5.0,1498.0,108.6bhp,Jaipur
Maruti,Maruti Vitara Brezza,SUV,Diesel,Manual,1st Owner,1,2018,73000.0,825000.0,5.0,1248.0,88.5bhp,Jaipur
Ford,Ford Endeavour,SUV,Diesel,Automatic,2nd Owner,2,2016,90000.0,2075000.0,7.0,2198.0,158bhp,Jaipur
Hyundai,Hyundai Santro,Hatchback,Petrol,Manual,1st Owner,1,2019,30000.0,445000.0,5.0,1086.0,68bhp,Jaipur
Hyundai,Hyundai Grand i10,Hatchback,Diesel,Manual,2nd Owner,2,2014,80000.0,350000.0,5.0,1120.0,70bhp,Jaipur
Mercedes-Benz,Mercedes-Benz AMG GLC 43,SUV,Petrol,Automatic,1st Owner,1,2022,23200.0,9000000.0,5.0,2996.0,384.87bhp,Jaipur
Skoda,Skoda Kushaq,SUV,Petrol,Manual,1st Owner,1,2022,10000.0,1300000.0,5.0,999.0,113.98bhp,Jaipur
Mahindra,Mahindra XUV500,SUV,Diesel,Manual,2nd Owner,2,2012,120000.0,330000.0,7.0,2179.0,140bhp,Jaipur
Hyundai,Hyundai Grand i10 Nios,Hatchback,Petrol,Automatic,1st Owner,1,2022,10000.0,750000.0,5.0,1197.0,81.86bhp,Jaipur
Hyundai,Hyundai Grand i10 Nios,Hatchback,Petrol,Automatic,1st Owner,1,2022,10000.0,750000.0,5.0,1197.0,81.86bhp,Jaipur
Renault,Renault Triber,MUV,Petrol,Manual,1st Owner,1,2020,30000.0,670000.0,7.0,999.0,71.01bhp,Jaipur
Maruti,Maruti Vitara Brezza,SUV,Petrol,Manual,1st Owner,1,2022,20000.0,894999.9999999999,5.0,1462.0,103.26bhp,Jaipur
Chevrolet,Chevrolet Aveo U-VA,Hatchback,Petrol,Manual,1st Owner,1,2007,60000.0,90000.0,5.0,1150.0,74.9bhp,Jaipur
Maruti,Maruti Celerio,Hatchback,Petrol,Automatic,1st Owner,1,2017,107963.0,365000.0,5.0,998.0,65.71bhp,Jaipur
Renault,Renault Duster,SUV,Diesel,Manual,2nd Owner,2,2012,121243.0,347000.0,5.0,1461.0,108.45bhp,Jaipur
